Tiempo, warmup, velocidad autos, velocidad buses, transportadas auto, transportadas buses
3864.00, 263.88, 4.0277, 1.6695, 3073, 11847
3797.25, 197.12, 3.8036, 1.7043, 3146, 11157
3976.75, 376.62, 4.3910, 1.4020, 3073, 11351
4157.75, 557.62, 4.0075, 1.2544, 3006, 10910
3917.00, 316.88, 4.3125, 1.4455, 2898, 10267
4037.50, 437.38, 4.1500, 1.3160, 3052, 11427
3857.00, 256.88, 3.9376, 1.5949, 3036, 11106
3850.25, 250.12, 4.2951, 1.7278, 3038, 10886
4103.50, 503.38, 4.3038, 1.4876, 3040, 11614
3910.25, 310.12, 4.0613, 1.3486, 3108, 10635
3982.50, 382.38, 4.0401, 1.3141, 3066, 12021
3857.50, 257.38, 4.2258, 1.4685, 3046, 11133
3923.50, 323.38, 3.9459, 1.2478, 3167, 10315
3918.25, 318.12, 4.1084, 1.4873, 3027, 11552
3977.50, 377.38, 4.0931, 1.7255, 3064, 12083
3923.50, 323.38, 4.4129, 1.6285, 2874, 11266
3857.00, 256.88, 4.1487, 1.3771, 3060, 11196
3977.00, 376.88, 4.3944, 1.6307, 2882, 12008
3970.00, 369.88, 4.1169, 1.4447, 3040, 11427
3856.75, 256.62, 3.9545, 1.3154, 3118, 10884
3977.00, 376.88, 4.3776, 1.6942, 2907, 12076
3858.00, 257.88, 4.0466, 1.2441, 3011, 10497
3856.50, 256.38, 4.2805, 1.4534, 3093, 11201
3970.00, 369.88, 4.0556, 1.5375, 3118, 11295
3863.50, 263.38, 4.2223, 1.6760, 3058, 11725
3870.50, 270.38, 4.2020, 1.6116, 3000, 11697
3857.75, 257.62, 4.3397, 1.6727, 3000, 11589
3910.25, 310.12, 4.2650, 1.4269, 3043, 11507
3913.50, 313.38, 4.0243, 1.6653, 3004, 11151
3798.50, 198.38, 3.7533, 1.6466, 3070, 11148
3857.00, 256.88, 4.0254, 1.5580, 3128, 11188
3856.75, 256.62, 4.0780, 1.6342, 3086, 11665
3857.25, 257.12, 4.0521, 1.1848, 3042, 11151
4033.00, 432.88, 3.8218, 1.3582, 3182, 11071
3857.00, 256.88, 4.0053, 1.2615, 3181, 10743
3863.50, 263.38, 4.2024, 1.0256, 3041, 8877
3870.75, 270.62, 3.9523, 1.5512, 2990, 11594
